product,2019-1
0,398
1,423
2,449
3,404
4,396
5,402
6,429
7,387
8,389
9,399
10,399
11,431
12,398
13,398
14,403
15,406
16,405
17,414
18,403
19,385
20,419
21,424
22,373
23,464
24,379
25,428
26,416
27,410
28,416
29,441
30,426
31,427
32,422
33,426
34,387
35,397
36,433
37,384
38,414
39,398
40,393
41,397
42,388
43,442
44,423
45,395
46,418
47,413
48,406
49,433
50,423
51,433
52,387
53,430
54,395
55,431
56,394
57,443
58,409
59,411
60,388
61,406
62,402
63,428
64,438
65,389
66,422
67,418
68,432
69,457
70,437
71,406
72,411
73,372
74,436
75,391
76,423
77,419
78,383
79,425
80,426
81,428
82,426
83,404
84,411
85,406
86,425
87,424
88,408
89,404
90,415
91,446
92,408
93,409
94,399
95,437
96,403
97,395
98,429
99,407
100,412
101,409
102,470
103,421
104,419
105,402
106,377
107,450
108,431
109,439
110,428
111,430
112,422
113,433
114,422
115,399
116,414
117,451
118,415
119,443
120,434
121,415
122,422
123,482
124,445
125,396
126,403
127,437
128,446
129,416
130,445
131,419
132,452
133,392
134,399
135,383
136,400
137,409
138,428
139,416
140,431
141,405
142,406
143,397
144,400
145,427
146,419
147,425
148,426
149,412
150,394
151,412
152,394
153,371
154,397
155,413
156,432
157,420
158,444
159,405
160,415
161,442
162,417
163,425
164,429
165,403
166,420
167,435
168,382
169,423
170,463
171,424
172,440
173,428
174,434
175,413
176,437
177,448
178,440
179,426
180,437
181,455
182,429
183,408
184,438
185,424
186,407
187,444
188,441
189,402
190,436
191,414
192,474
193,421
194,447
195,421
196,419
197,431
198,390
199,391
200,411
201,413
202,400
203,415
204,423
205,419
206,426
207,404
208,416
209,383
210,382
211,413
212,409
213,412
214,424
215,413
216,476
217,436
218,458
219,407
220,413
221,419
222,420
223,406
224,403
225,438
226,415
227,428
228,371
229,435
230,450
231,460
232,430
233,395
234,388
235,403
236,399
237,413
238,427
239,423
240,414
241,442
242,396
243,408
244,413
245,401
246,410
247,437
248,411
249,403
250,421
251,421
252,412
253,405
254,419
255,391
256,417
257,387
258,408
259,401
260,448
261,411
262,450
263,444
264,392
265,417
266,393
267,433
268,398
269,426
270,469
271,439
272,431
273,409
274,443
275,402
276,419
277,423
278,426
279,382
280,427
281,409
282,423
283,377
284,439
285,465
286,446
287,407
288,377
289,396
290,420
291,424
292,444
293,422
294,443
295,451
296,429
297,412
298,381
299,422
300,420
301,407
302,441
303,427
304,442
305,420
306,424
307,397
308,407
309,424
310,417
311,443
312,408
313,408
314,386
315,435
316,388
317,419
318,457
319,428
320,400
321,397
322,417
323,406
324,413
325,400
326,458
327,427
328,387
329,413
330,404
331,386
332,389
333,427
334,375
335,390
336,405
337,402
338,440
339,425
340,435
341,419
342,417
343,416
344,421
345,444
346,398
347,412
348,439
349,389
350,420
351,424
352,359
353,412
354,446
355,390
356,464
357,429
358,432
359,405
360,453
361,402
362,423
363,424
364,389
365,431
366,380
367,417
368,391
369,412
370,419
371,419
372,405
373,404
374,448
375,396
376,411
377,408
378,405
379,429
380,436
381,404
382,402
383,402
384,407
385,418
386,405
387,445
388,439
389,397
390,424
391,437
392,429
393,410
394,397
395,445
396,435
397,385
398,401
399,375
400,411
401,433
402,424
403,414
404,444
405,407
406,401
407,433
408,420
409,407
410,409
411,408
412,390
413,431
414,412
415,420
416,420
417,414
418,439
419,441
420,432
421,405
422,450
423,455
424,391
425,432
426,411
427,393
428,382
429,434
430,435
431,402
432,429
433,429
434,412
435,424
436,446
437,445
438,436
439,415
440,400
441,394
442,397
443,406
444,441
445,414
446,440
447,406
448,411
449,440
450,427
451,434
452,424
453,390
454,434
455,407
456,430
457,433
458,416
459,422
460,392
461,379
462,439
463,423
464,412
465,440
466,418
467,444
468,385
469,395
470,441
471,418
472,386
473,449
474,423
475,413
476,439
477,408
478,399
479,400
480,419
481,412
482,423
483,416
484,413
485,393
486,457
487,399
488,442
489,413
490,418
491,436
492,383
493,432
494,437
495,440
496,426
497,447
498,436
499,460
500,462
501,436
502,386
503,412
504,445
505,438
506,405
507,388
508,395
509,405
510,459
511,369
512,405
513,393
514,404
515,422
516,430
517,433
518,419
519,415
520,427
521,440
522,405
523,449
524,409
525,431
526,438
527,429
528,445
529,432
530,403
531,426
532,393
533,433
534,399
535,410
536,454
537,437
538,384
539,428
540,406
541,427
542,420
543,435
544,375
545,432
546,404
547,426
548,404
549,435
550,410
551,411
552,405
553,432
554,443
555,420
556,431
557,428
558,423
559,402
560,443
561,432
562,415
563,452
564,405
565,411
566,446
567,430
568,424
569,427
570,441
571,434
572,415
573,443
574,410
575,407
576,414
577,393
578,408
579,407
580,439
581,397
582,393
583,425
584,373
585,371
586,385
587,444
588,453
589,407
590,427
591,368
592,423
593,420
594,469
595,424
596,398
597,417
598,426
599,400
600,439
601,442
602,418
603,387
604,416
605,426
606,446
607,446
608,438
609,405
610,405
611,414
612,416
613,389
614,441
615,435
616,371
617,392
618,433
619,399
620,428
621,415
622,361
623,443
624,415
625,430
626,402
627,420
628,403
629,437
630,426
631,379
632,402
633,381
634,425
635,414
636,404
637,371
638,411
639,398
640,406
641,369
642,415
643,407
644,426
645,408
646,440
647,395
648,425
649,422
650,420
651,417
652,404
653,416
654,411
655,465
656,425
657,434
658,418
659,388
660,420
661,423
662,405
663,425
664,404
665,406
666,386
667,421
668,431
669,388
670,412
671,407
672,414
673,432
674,390
675,426
676,432
677,403
678,433
679,434
680,411
681,460
682,453
683,417
684,412
685,451
686,409
